Date,Open,High,Low,Close,Adj Close,Volume
2015-02-10,1121.500000,1149.000000,1120.500000,1139.150024,1025.087524,4258460
2015-02-11,1140.250000,1146.599976,1128.119995,1142.430054,1028.039063,2898486
2015-02-12,1141.500000,1160.969971,1136.500000,1155.599976,1039.890381,3143768
2015-02-13,1149.800049,1163.349976,1143.000000,1148.050049,1033.096313,2828758
2015-02-16,1140.150024,1153.449951,1132.619995,1139.380005,1025.294434,3122138
2015-02-18,1139.380005,1152.469971,1129.069946,1148.250000,1033.276245,4306882
2015-02-19,1147.000000,1167.000000,1146.030029,1162.349976,1045.964355,4836812
2015-02-20,1164.250000,1168.000000,1138.449951,1141.550049,1027.247314,3485814
2015-02-23,1150.000000,1154.599976,1124.050049,1132.800049,1019.373230,2545244
2015-02-24,1139.500000,1147.969971,1128.800049,1136.400024,1022.612915,3218838
2015-02-25,1144.449951,1167.400024,1140.000000,1158.800049,1042.769897,3022486
2015-02-26,1153.750000,1154.500000,1122.699951,1129.050049,1015.998718,3222888
2015-02-27,1137.449951,1140.319946,1125.750000,1132.880005,1019.445313,3900538
2015-02-28,,,,,,
2015-03-02,1151.500000,1154.250000,1139.030029,1145.849976,1031.116699,3520496
2015-03-03,1145.000000,1151.469971,1139.150024,1148.930054,1033.888184,2452776
2015-03-04,1150.000000,1156.949951,1125.949951,1137.319946,1023.440552,2187614
2015-03-05,1133.530029,1149.380005,1116.680054,1123.800049,1011.274536,2842458
2015-03-09,1123.800049,1129.500000,1089.500000,1095.030029,985.385193,3992360
2015-03-10,1099.050049,1103.469971,1080.099976,1099.000000,988.957642,3164958
2015-03-11,1097.050049,1120.000000,1084.550049,1091.099976,981.848633,3390456
2015-03-12,1089.500000,1113.219971,1088.500000,1109.150024,998.091370,2844282
2015-03-13,1112.500000,1115.000000,1096.199951,1110.199951,999.036133,3089842
2015-03-16,1105.280029,1141.000000,1105.280029,1133.319946,1019.841187,3409316
2015-03-17,1133.319946,1139.750000,1108.619995,1120.250000,1008.079712,2769656
2015-03-18,1127.250000,1131.430054,1111.280029,1114.750000,1003.130493,2452782
2015-03-19,1117.300049,1124.500000,1111.380005,1115.219971,1003.553528,3445870
2015-03-20,1120.500000,1134.449951,1116.469971,1128.719971,1015.701843,3215448
2015-03-23,1126.500000,1137.500000,1112.750000,1116.719971,1004.903442,2539350
2015-03-24,1117.449951,1126.699951,1103.000000,1105.719971,995.004822,3368266
2015-03-25,1111.449951,1114.569946,1100.380005,1109.550049,998.451355,3085484
2015-03-26,1104.000000,1107.449951,1066.000000,1073.180054,965.723083,7870420
2015-03-27,1082.000000,1112.349976,1081.500000,1101.069946,990.820313,5037110
2015-03-30,1102.800049,1120.000000,1097.449951,1114.000000,1002.455750,2311544
2015-03-31,1122.500000,1136.819946,1102.180054,1109.180054,998.118408,4008206
2015-04-01,1099.449951,1099.750000,1078.849976,1086.969971,978.132202,3369244
2015-04-06,1086.969971,1092.349976,1080.199951,1089.099976,980.048889,3870876
2015-04-07,1087.500000,1091.400024,1069.000000,1079.750000,971.635132,4271134
2015-04-08,1091.250000,1102.449951,1086.530029,1100.280029,990.109558,5092788
2015-04-09,1105.699951,1109.449951,1092.199951,1107.500000,996.606506,5290774
2015-04-10,1105.099976,1119.000000,1105.099976,1116.969971,1005.128296,3561888
2015-04-13,1119.000000,1122.000000,1108.050049,1119.400024,1007.315063,2436168
2015-04-15,1119.400024,1122.500000,1097.530029,1106.849976,996.021729,3118892
2015-04-16,1111.000000,1115.500000,1080.250000,1097.319946,987.445679,4503906
2015-04-17,1090.030029,1097.469971,1076.719971,1089.619995,980.516907,3225158
2015-04-20,1088.000000,1090.000000,1057.569946,1066.069946,959.324829,6412692
2015-04-21,1074.000000,1077.550049,1060.050049,1071.300049,964.031311,4440824
2015-04-22,1075.530029,1077.500000,1048.969971,1068.849976,961.826599,6175492
2015-04-23,1074.349976,1075.000000,1056.000000,1061.000000,954.762634,5945900
2015-04-24,1067.949951,1075.099976,990.000000,997.599976,897.710815,21782726
2015-04-27,1000.000000,1001.000000,974.049988,992.325012,892.963989,9911320
2015-04-28,991.000000,991.000000,976.000000,980.450012,882.278137,5196750
2015-04-29,980.450012,986.000000,968.974976,980.575012,882.390503,4144528
2015-04-30,980.000000,982.500000,966.150024,971.125000,873.886719,6567130
2015-05-04,971.125000,1000.000000,971.125000,996.549988,896.765991,6680796
2015-05-05,1000.000000,1001.849976,976.025024,981.375000,883.110413,4704258
2015-05-06,987.500000,987.500000,957.650024,961.025024,864.798035,5254204
2015-05-07,961.000000,983.549988,955.000000,972.000000,874.674133,3389992
2015-05-08,979.000000,983.775024,972.625000,978.974976,880.950684,2888838
2015-05-11,982.500000,1000.000000,976.099976,996.825012,897.013428,2392756
2015-05-12,996.825012,997.299988,971.000000,973.549988,876.068848,4142446
2015-05-13,975.875000,982.450012,964.250000,978.349976,880.388245,3549542
2015-05-14,980.000000,980.400024,954.000000,967.400024,870.534729,3116922
2015-05-15,967.500000,983.299988,966.150024,980.875000,882.660461,2594672
2015-05-18,985.000000,999.450012,980.799988,996.525024,896.743469,3234988
2015-05-19,993.650024,1017.849976,993.000000,1011.169983,909.921997,5136038
2015-05-20,1020.000000,1026.000000,1016.799988,1023.650024,921.152405,2941094
2015-05-21,1024.449951,1030.949951,1018.619995,1024.219971,921.665344,5029656
2015-05-22,1022.000000,1025.780029,1015.049988,1023.219971,920.765442,3444412
2015-05-25,1025.250000,1028.280029,1003.530029,1008.400024,907.429443,2337904
2015-05-26,1010.000000,1015.719971,1001.080017,1003.650024,903.154968,1982520
2015-05-27,1003.500000,1004.500000,977.500000,984.250000,885.697510,4227354
2015-05-28,987.599976,1016.000000,987.599976,1008.299988,907.339478,5490270
2015-05-29,1002.419983,1028.219971,1000.500000,1011.580017,910.291016,9496522
2015-06-01,1016.400024,1032.000000,1011.619995,1023.900024,921.377441,2862446
2015-06-02,1024.050049,1027.550049,1002.500000,1004.330017,903.766907,2336570
2015-06-03,1009.099976,1019.719971,1004.000000,1010.450012,909.274170,2747898
2015-06-04,1015.000000,1027.500000,1006.299988,1014.030029,912.495728,3744732
2015-06-05,1015.000000,1022.000000,1004.080017,1005.830017,905.116699,3062894
2015-06-08,1010.000000,1012.330017,993.500000,1000.030029,899.897522,3070524
2015-06-09,1001.880005,1003.830017,991.500000,996.049988,896.316040,3780870
2015-06-10,995.000000,1019.669983,992.500000,1013.250000,911.793762,3192920
2015-06-11,1017.969971,1022.380005,997.525024,998.825012,898.813110,4614732
2015-06-12,1002.500000,1012.780029,977.750000,987.525024,915.689209,4926462
2015-06-15,976.950012,998.799988,968.000000,990.450012,932.327026,2618213
2015-06-16,994.349976,1003.000000,985.000000,999.349976,940.704712,2611722
2015-06-17,1011.000000,1021.000000,992.200012,995.700012,937.268921,3206034
2015-06-18,1005.599976,1007.950012,995.799988,1001.950012,943.152100,1737213
2015-06-19,1010.299988,1010.400024,993.099976,995.349976,936.939392,3335229
2015-06-22,1004.900024,1028.750000,997.000000,1023.849976,963.766907,2855434
2015-06-23,1025.000000,1027.400024,998.150024,1000.400024,941.693115,3476058
2015-06-24,1015.000000,1015.000000,991.200012,995.099976,936.704102,3536847
2015-06-25,999.200012,1003.500000,987.650024,990.450012,932.327026,3558733
2015-06-26,999.000000,1011.599976,998.099976,1005.250000,946.258362,2660142
2015-06-29,987.000000,999.500000,982.500000,990.150024,932.044678,2845334
2015-06-30,990.000000,993.450012,980.000000,984.349976,926.584900,3106265
2015-07-01,989.000000,1005.000000,986.000000,997.400024,938.869141,3440426
2015-07-02,999.000000,1001.400024,985.049988,988.000000,930.020752,2003784
2015-07-03,988.000000,993.000000,982.000000,990.299988,932.185791,1347653
2015-07-06,985.000000,988.000000,975.000000,983.299988,925.596619,2152801
2015-07-07,985.000000,990.000000,979.000000,980.500000,922.960938,1748709
2015-07-08,979.000000,979.000000,954.799988,957.500000,901.310669,3512089
2015-07-09,957.500000,966.000000,934.049988,938.000000,882.954895,4293886
2015-07-10,948.099976,952.099976,932.650024,937.500000,882.484314,3705761
2015-07-13,941.000000,955.000000,934.049988,950.150024,894.391968,3265884
2015-07-14,955.000000,973.500000,945.500000,971.250000,914.253662,2683537
2015-07-15,970.000000,985.950012,968.000000,984.000000,926.255493,2064783
2015-07-16,987.700012,991.500000,979.500000,989.049988,931.009094,1736469
2015-07-17,991.000000,1004.500000,989.099976,1001.849976,943.057922,1723989
2015-07-20,1001.400024,1010.799988,987.400024,1001.250000,942.493225,2188590
2015-07-21,1035.000000,1149.000000,1035.000000,1112.650024,1047.355957,19155056
2015-07-22,1105.000000,1112.000000,1076.650024,1103.150024,1038.413452,6332830
2015-07-23,1103.949951,1117.000000,1090.000000,1098.000000,1033.565552,3855374
2015-07-24,1095.550049,1106.449951,1083.099976,1087.599976,1023.775879,2240151
2015-07-27,1086.900024,1087.949951,1060.449951,1065.300049,1002.784607,3376122
2015-07-28,1068.500000,1076.000000,1054.250000,1062.849976,1000.478333,4238301
2015-07-29,1074.000000,1092.000000,1065.000000,1085.400024,1021.704956,3535667
2015-07-30,1090.000000,1090.000000,1058.000000,1070.000000,1007.208740,5978299
2015-07-31,1078.550049,1081.349976,1060.000000,1077.050049,1013.845093,3965506
2015-08-03,1078.000000,1092.000000,1068.949951,1078.949951,1015.633423,3980506
2015-08-04,1078.000000,1078.949951,1051.000000,1057.250000,995.206970,4549527
2015-08-05,1062.000000,1090.000000,1061.949951,1086.349976,1022.599182,2376738
2015-08-06,1094.000000,1105.500000,1077.000000,1086.949951,1023.164063,3619126
2015-08-07,1079.500000,1101.000000,1078.500000,1095.599976,1031.306519,2494029
2015-08-10,1098.000000,1106.349976,1067.000000,1086.000000,1022.269775,1996377
2015-08-11,1098.800049,1116.900024,1095.699951,1109.150024,1044.061279,3787203
2015-08-12,1115.000000,1149.000000,1111.000000,1144.400024,1077.242798,5084220
2015-08-13,1147.000000,1166.849976,1055.550049,1158.000000,1090.044556,4893980
2015-08-14,1165.000000,1168.699951,1143.099976,1149.250000,1081.808105,2554533
2015-08-17,1150.000000,1153.449951,1122.500000,1142.150024,1075.124756,1553718
2015-08-18,1150.000000,1177.699951,1150.000000,1164.349976,1096.021973,2075223
2015-08-19,1170.000000,1186.199951,1162.800049,1175.550049,1106.564575,3434759
2015-08-20,1159.000000,1168.500000,1128.000000,1134.550049,1067.970703,4184557
2015-08-21,1140.900024,1160.949951,1117.500000,1149.900024,1082.419800,5411071
2015-08-24,1109.949951,1123.000000,1078.599976,1092.050049,1027.964844,7061342
2015-08-25,1100.000000,1119.000000,1044.500000,1085.650024,1021.940430,6867539
2015-08-26,1089.800049,1097.000000,1059.000000,1064.599976,1002.125488,5749106
2015-08-27,1088.000000,1100.099976,1078.050049,1082.800049,1019.257507,7671696
2015-08-28,1101.599976,1124.900024,1101.599976,1111.050049,1045.849731,3604410
2015-08-31,1134.849976,1134.849976,1082.500000,1094.400024,1030.176880,4958532
2015-09-01,1090.000000,1114.599976,1082.000000,1089.000000,1025.093872,4535775
2015-09-02,1098.000000,1115.000000,1090.000000,1099.449951,1034.930420,5585915
2015-09-03,1110.150024,1112.000000,1092.500000,1099.349976,1034.836304,4295268
2015-09-04,1103.000000,1111.000000,1067.000000,1073.949951,1010.926941,3659444
2015-09-07,1084.949951,1085.000000,1055.000000,1058.750000,996.618958,2590494
2015-09-08,1062.000000,1074.000000,1052.300049,1058.800049,996.666016,2729748
2015-09-09,1087.099976,1099.599976,1072.000000,1088.699951,1024.811279,4574332
2015-09-10,1084.900024,1091.500000,1061.000000,1080.449951,1017.045471,4181502
2015-09-11,1091.550049,1106.400024,1085.500000,1090.750000,1026.741089,4941905
2015-09-14,1099.000000,1104.000000,1082.650024,1099.750000,1035.212891,3278538
2015-09-15,1099.400024,1103.199951,1088.150024,1099.199951,1034.695068,2645943
2015-09-16,1108.000000,1109.750000,1098.300049,1101.650024,1037.001343,3739120
2015-09-18,1101.650024,1117.900024,1099.050049,1104.449951,1039.636963,5788438
2015-09-21,1100.000000,1108.849976,1092.500000,1104.650024,1039.825195,2175617
2015-09-22,1115.000000,1135.949951,1101.099976,1107.449951,1042.461060,4813493
2015-09-23,1107.449951,1126.349976,1097.449951,1116.250000,1050.744507,2379127
2015-09-24,1113.500000,1152.699951,1110.000000,1140.550049,1073.618530,6699631
2015-09-28,1140.550049,1142.849976,1101.000000,1105.550049,1040.672363,4894232
2015-09-29,1102.000000,1133.400024,1097.500000,1121.849976,1056.015869,4349685
2015-09-30,1134.400024,1168.949951,1125.949951,1161.949951,1093.762695,4747846
2015-10-01,1169.900024,1197.750000,1160.000000,1173.050049,1104.211426,5432197
2015-10-05,1173.050049,1189.349976,1162.000000,1181.750000,1112.400879,3440880
2015-10-06,1187.050049,1192.550049,1148.099976,1154.599976,1086.843994,4355940
2015-10-07,1156.000000,1168.750000,1128.449951,1133.199951,1066.699829,4591244
2015-10-08,1136.400024,1149.599976,1126.050049,1132.150024,1065.711426,4540437
2015-10-09,1136.000000,1172.900024,1136.000000,1167.400024,1098.892944,5891069
2015-10-12,1199.000000,1219.800049,1109.000000,1122.900024,1057.004272,15202485
2015-10-13,1107.449951,1111.000000,1085.199951,1099.400024,1034.883423,7663431
2015-10-14,1091.449951,1115.550049,1087.199951,1097.599976,1033.188965,4432755
2015-10-15,1099.900024,1104.349976,1089.099976,1097.349976,1032.953613,4127833
2015-10-16,1099.000000,1101.400024,1090.000000,1094.900024,1040.126099,3209496
2015-10-19,1102.000000,1116.000000,1100.500000,1111.949951,1056.322998,3673747
2015-10-20,1113.000000,1130.000000,1110.599976,1125.949951,1069.622681,4394155
2015-10-21,1125.000000,1146.849976,1125.000000,1138.400024,1081.449829,3639049
2015-10-23,1138.400024,1153.000000,1125.099976,1149.900024,1092.374634,3016681
2015-10-26,1154.000000,1158.500000,1143.150024,1152.150024,1094.512085,1597971
2015-10-27,1150.000000,1155.000000,1144.099976,1149.400024,1091.899536,2631874
2015-10-28,1144.500000,1158.000000,1139.000000,1153.199951,1095.509399,2627736
2015-10-29,1153.099976,1155.900024,1136.050049,1145.050049,1087.767212,2943662
2015-10-30,1145.000000,1145.000000,1130.000000,1135.449951,1078.647461,2022338
2015-11-02,1130.000000,1135.800049,1114.099976,1131.199951,1074.610107,1772494
2015-11-03,1133.400024,1150.449951,1133.400024,1145.500000,1088.194702,1807341
2015-11-04,1150.099976,1157.599976,1132.300049,1136.800049,1079.929932,1602786
2015-11-05,1142.949951,1145.000000,1119.400024,1122.900024,1066.725220,1172653
2015-11-06,1123.000000,1143.900024,1122.900024,1138.300049,1081.354980,1513086
2015-11-09,1120.000000,1140.000000,1115.199951,1134.599976,1077.839844,3062838
2015-11-10,1127.500000,1127.500000,1100.099976,1103.849976,1048.628296,2340026
2015-11-13,1103.849976,1106.000000,1090.000000,1100.800049,1045.730835,1760434
2015-11-16,1083.650024,1094.000000,1067.199951,1080.199951,1026.161377,3404167
2015-11-17,1080.000000,1082.900024,1052.000000,1061.500000,1008.396912,3592053
2015-11-18,1041.000000,1045.150024,1011.250000,1020.000000,968.972900,5062626
2015-11-19,1030.250000,1052.000000,1023.799988,1047.800049,995.382263,4269811
2015-11-20,1048.000000,1063.199951,1042.050049,1052.400024,999.752197,3041489
2015-11-23,1050.000000,1062.400024,1038.000000,1053.699951,1000.987000,2808175
2015-11-24,1050.000000,1050.800049,1037.000000,1041.150024,989.064880,2162901
2015-11-26,1041.150024,1059.500000,1040.050049,1052.400024,999.752197,4926984
2015-11-27,1058.000000,1070.000000,1045.000000,1066.349976,1013.004150,2571239
2015-11-30,1070.000000,1098.300049,1056.199951,1087.900024,1033.476196,9052767
2015-12-01,1088.000000,1095.000000,1072.949951,1079.000000,1025.021362,2949275
2015-12-02,1079.949951,1079.949951,1059.000000,1060.699951,1007.636902,3198808
2015-12-03,1061.000000,1064.800049,1049.050049,1057.750000,1004.834473,2752363
2015-12-04,1049.000000,1064.900024,1040.099976,1049.050049,996.569824,4187765
2015-12-07,1055.300049,1059.000000,1040.000000,1046.250000,993.909790,2256935
2015-12-08,1045.050049,1062.750000,1039.300049,1044.400024,992.152344,2862186
2015-12-09,1043.000000,1046.949951,1022.549988,1028.199951,976.762695,3409127
2015-12-10,1036.599976,1051.599976,1030.300049,1047.349976,994.954773,2793873
2015-12-11,1054.000000,1061.900024,1045.900024,1052.800049,1000.132080,2695099
2015-12-14,1049.500000,1073.150024,1048.050049,1069.500000,1015.996521,2408336
2015-12-15,1073.250000,1079.099976,1058.800049,1077.550049,1023.643921,2715904
2015-12-16,1083.400024,1098.000000,1083.400024,1095.849976,1041.028442,2747926
2015-12-17,1100.000000,1109.800049,1088.000000,1107.099976,1051.715576,2479391
2015-12-18,1103.400024,1103.400024,1079.449951,1083.150024,1028.963745,3609910
2015-12-21,1077.000000,1107.400024,1065.949951,1103.449951,1048.248169,2165506
2015-12-22,1097.449951,1097.449951,1080.099976,1083.750000,1029.533813,2054627
2015-12-23,1095.050049,1102.500000,1087.050049,1100.849976,1045.778320,1435464
2015-12-24,1102.050049,1104.449951,1090.099976,1096.349976,1041.503418,615027
2015-12-28,1096.349976,1110.000000,1090.000000,1104.750000,1049.483276,2763476
2015-12-29,1101.250000,1110.000000,1097.300049,1104.699951,1049.435791,1672531
2015-12-30,1101.099976,1106.599976,1083.000000,1086.300049,1031.956177,2576985
2015-12-31,1090.150024,1109.949951,1087.000000,1105.400024,1050.100830,3971969
2016-01-01,1100.000000,1108.949951,1093.199951,1105.250000,1049.958252,903275
2016-01-04,1099.949951,1102.449951,1076.050049,1078.900024,1024.926392,1987681
2016-01-05,1085.500000,1085.500000,1062.250000,1074.050049,1020.319031,2474893
2016-01-06,1074.650024,1074.650024,1058.900024,1069.349976,1015.854126,2794164
2016-01-07,1060.050049,1067.900024,1047.900024,1050.800049,998.232239,2647044
2016-01-08,1061.500000,1067.400024,1055.500000,1063.300049,1010.106873,1578358
2016-01-11,1056.300049,1069.949951,1052.099976,1055.699951,1002.887024,2680311
2016-01-12,1062.000000,1062.949951,1030.849976,1049.949951,997.424622,3282606
2016-01-13,1057.000000,1091.000000,1048.099976,1083.400024,1029.201294,4375647
2016-01-14,1066.000000,1155.000000,1054.349976,1133.000000,1076.319946,15113503
